datetime,wind_speed_kmh,source_file,year,month,day,hour,time_lst,is_interpolated_or_filled,hour_index_8760
2001-11-10 03:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,3,03:00,False,7515
2001-11-10 04:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,4,04:00,False,7516
2001-11-10 05:00:00,13.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,5,05:00,False,7517
2001-11-10 06:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,6,06:00,False,7518
2001-11-10 07:00:00,15.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,7,07:00,False,7519
2001-11-10 08:00:00,22.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,8,08:00,False,7520
2001-11-10 09:00:00,24.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,9,09:00,False,7521
2001-11-10 10:00:00,22.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,10,10:00,False,7522
2001-11-10 11:00:00,26.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,11,11:00,False,7523
2001-11-10 12:00:00,22.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,12,12:00,False,7524
2001-11-10 13:00:00,26.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,13,13:00,False,7525
2001-11-10 14:00:00,19.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,14,14:00,False,7526
2001-11-10 15:00:00,17.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,15,15:00,False,7527
2001-11-10 16:00:00,13.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,16,16:00,False,7528
2001-11-10 17:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,17,17:00,False,7529
2001-11-10 18:00:00,7.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,18,18:00,False,7530
2001-11-10 19:00:00,7.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,19,19:00,False,7531
2001-11-10 20:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,20,20:00,False,7532
2001-11-10 21:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,21,21:00,False,7533
2001-11-10 22:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,22,22:00,False,7534
2001-11-10 23:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,23,23:00,False,7535
2001-11-11 00:00:00,7.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,0,00:00,False,7536
2001-11-11 01:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,1,01:00,False,7537
2001-11-11 02:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,2,02:00,False,7538
2001-11-11 03:00:00,7.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,3,03:00,False,7539
2001-11-11 04:00:00,7.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,4,04:00,False,7540
2001-11-11 05:00:00,6.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,5,05:00,False,7541
2001-11-11 06:00:00,6.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,6,06:00,False,7542
2001-11-11 07:00:00,15.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,7,07:00,False,7543
2001-11-11 08:00:00,17.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,8,08:00,False,7544
2001-11-11 09:00:00,24.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,9,09:00,False,7545
2001-11-11 10:00:00,20.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,10,10:00,False,7546
2001-11-11 11:00:00,17.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,11,11:00,False,7547
2001-11-11 12:00:00,20.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,12,12:00,False,7548
2001-11-11 13:00:00,20.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,13,13:00,False,7549
2001-11-11 14:00:00,24.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,14,14:00,False,7550
2001-11-11 15:00:00,26.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,15,15:00,False,7551
2001-11-11 16:00:00,19.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,16,16:00,False,7552
2001-11-11 17:00:00,17.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,17,17:00,False,7553
2001-11-11 18:00:00,19.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,18,18:00,False,7554
2001-11-11 19:00:00,17.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,19,19:00,False,7555
2001-11-11 20:00:00,20.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,20,20:00,False,7556
2001-11-11 21:00:00,24.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,21,21:00,False,7557
2001-11-11 22:00:00,30.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,22,22:00,False,7558
2001-11-11 23:00:00,28.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,11,23,23:00,False,7559
2001-11-12 00:00:00,28.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,0,00:00,False,7560
2001-11-12 01:00:00,24.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,1,01:00,False,7561
2001-11-12 02:00:00,24.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,2,02:00,False,7562
2001-11-12 03:00:00,26.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,3,03:00,False,7563
2001-11-12 04:00:00,22.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,4,04:00,False,7564
2001-11-12 05:00:00,26.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,5,05:00,False,7565
2001-11-12 06:00:00,24.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,6,06:00,False,7566
2001-11-12 07:00:00,26.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,7,07:00,False,7567
2001-11-12 08:00:00,24.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,8,08:00,False,7568
2001-11-12 09:00:00,22.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,9,09:00,False,7569
2001-11-12 10:00:00,20.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,10,10:00,False,7570
2001-11-12 11:00:00,20.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,11,11:00,False,7571
2001-11-12 12:00:00,20.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,12,12:00,False,7572
2001-11-12 13:00:00,22.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,13,13:00,False,7573
2001-11-12 14:00:00,19.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,14,14:00,False,7574
2001-11-12 15:00:00,17.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,15,15:00,False,7575
2001-11-12 16:00:00,19.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,16,16:00,False,7576
2001-11-12 17:00:00,13.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,17,17:00,False,7577
2001-11-12 18:00:00,15.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,18,18:00,False,7578
2001-11-12 19:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,19,19:00,False,7579
2001-11-12 20:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,20,20:00,False,7580
2001-11-12 21:00:00,6.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,21,21:00,False,7581
2001-11-12 22:00:00,13.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,22,22:00,False,7582
2001-11-12 23:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,12,23,23:00,False,7583
2001-11-13 00:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,0,00:00,False,7584
2001-11-13 01:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,1,01:00,False,7585
2001-11-13 02:00:00,0.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,2,02:00,False,7586
2001-11-13 03:00:00,7.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,3,03:00,False,7587
2001-11-13 04:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,4,04:00,False,7588
2001-11-13 05:00:00,13.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,5,05:00,False,7589
2001-11-13 06:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,6,06:00,False,7590
2001-11-13 07:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,7,07:00,False,7591
2001-11-13 08:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,8,08:00,False,7592
2001-11-13 09:00:00,13.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,9,09:00,False,7593
2001-11-13 10:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,10,10:00,False,7594
2001-11-13 11:00:00,7.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,11,11:00,False,7595
2001-11-13 12:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,12,12:00,False,7596
2001-11-13 13:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,13,13:00,False,7597
2001-11-13 14:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,14,14:00,False,7598
2001-11-13 15:00:00,19.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,15,15:00,False,7599
2001-11-13 16:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,16,16:00,False,7600
2001-11-13 17:00:00,13.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,17,17:00,False,7601
2001-11-13 18:00:00,17.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,18,18:00,False,7602
2001-11-13 19:00:00,17.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,19,19:00,False,7603
2001-11-13 20:00:00,15.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,20,20:00,False,7604
2001-11-13 21:00:00,13.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,21,21:00,False,7605
2001-11-13 22:00:00,15.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,22,22:00,False,7606
2001-11-13 23:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,13,23,23:00,False,7607
2001-11-14 00:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,0,00:00,False,7608
2001-11-14 01:00:00,13.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,1,01:00,False,7609
2001-11-14 02:00:00,17.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,2,02:00,False,7610
2001-11-14 03:00:00,15.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,3,03:00,False,7611
2001-11-14 04:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,4,04:00,False,7612
2001-11-14 05:00:00,7.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,5,05:00,False,7613
2001-11-14 06:00:00,13.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,6,06:00,False,7614
2001-11-14 07:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,7,07:00,False,7615
2001-11-14 08:00:00,13.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,8,08:00,False,7616
2001-11-14 09:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,9,09:00,False,7617
2001-11-14 10:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,10,10:00,False,7618
2001-11-14 11:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,11,11:00,False,7619
2001-11-14 12:00:00,15.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,12,12:00,False,7620
2001-11-14 13:00:00,28.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,13,13:00,False,7621
2001-11-14 14:00:00,24.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,14,14:00,False,7622
2001-11-14 15:00:00,28.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,15,15:00,False,7623
2001-11-14 16:00:00,17.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,16,16:00,False,7624
2001-11-14 17:00:00,20.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,17,17:00,False,7625
2001-11-14 18:00:00,19.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,18,18:00,False,7626
2001-11-14 19:00:00,17.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,19,19:00,False,7627
2001-11-14 20:00:00,20.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,20,20:00,False,7628
2001-11-14 21:00:00,15.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,21,21:00,False,7629
2001-11-14 22:00:00,7.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,22,22:00,False,7630
2001-11-14 23:00:00,4.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,14,23,23:00,False,7631
2001-11-15 00:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,0,00:00,False,7632
2001-11-15 01:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,1,01:00,False,7633
2001-11-15 02:00:00,4.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,2,02:00,False,7634
2001-11-15 03:00:00,0.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,3,03:00,False,7635
2001-11-15 04:00:00,7.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,4,04:00,False,7636
2001-11-15 05:00:00,7.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,5,05:00,False,7637
2001-11-15 06:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,6,06:00,False,7638
2001-11-15 07:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,7,07:00,False,7639
2001-11-15 08:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,8,08:00,False,7640
2001-11-15 09:00:00,11.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,9,09:00,False,7641
2001-11-15 10:00:00,13.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,10,10:00,False,7642
2001-11-15 11:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,11,11:00,False,7643
2001-11-15 12:00:00,15.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,12,12:00,False,7644
2001-11-15 13:00:00,13.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,13,13:00,False,7645
2001-11-15 14:00:00,15.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,14,14:00,False,7646
2001-11-15 15:00:00,19.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,15,15:00,False,7647
2001-11-15 16:00:00,17.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,16,16:00,False,7648
2001-11-15 17:00:00,17.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,17,17:00,False,7649
2001-11-15 18:00:00,19.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,18,18:00,False,7650
2001-11-15 19:00:00,22.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,19,19:00,False,7651
2001-11-15 20:00:00,20.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,20,20:00,False,7652
2001-11-15 21:00:00,22.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,15,21,21:00,False,7653
