z_midpoint,North Battleford,Swift Current,Toronto Island A,Common Wind Speed Model
-0.9,0.028198059360730592,0.028508447488584474,0.030187100456621003,0.028964535768645355
-0.8,0.030983561643835617,0.0315648401826484,0.03328550228310502,0.03194463470319635
-0.7000000000000001,0.033688356164383565,0.03437876712328767,0.0361134703196347,0.03472686453576864
-0.6000000000000001,0.03626358447488585,0.037113584474885844,0.03848367579908676,0.037286948249619485
-0.5,0.038251940639269406,0.03915410958904109,0.040406963470319635,0.03927100456621004
-0.4,0.04001187214611872,0.040987214611872144,0.04193127853881279,0.04097678843226788
-0.30000000000000004,0.04104132420091324,0.04229041095890411,0.04292808219178082,0.042086605783866055
-0.2,0.041867922374429226,0.04276837899543379,0.04302123287671233,0.04255251141552511
-0.1,0.042167237442922376,0.04268801369863014,0.042695205479452054,0.042516818873668184
0.0,0.041658561643835613,0.04211541095890411,0.04186974885844749,0.041881240487062404
0.1,0.04076917808219178,0.04105993150684931,0.0406148401826484,0.040814649923896495
0.2,0.03966929223744292,0.03957214611872146,0.03888093607305936,0.03937412480974125
0.30000000000000004,0.037928310502283104,0.037798287671232875,0.036845319634703194,0.03752397260273973
0.4,0.03612123287671233,0.0356972602739726,0.03473367579908676,0.035517389649923896
0.5,0.03381643835616439,0.03335650684931507,0.03232751141552512,0.03316681887366819
0.6000000000000001,0.03146563926940639,0.03094783105022831,0.02983744292237443,0.030750304414003043
0.7000000000000001,0.028958675799086758,0.028667922374429222,0.02735582191780822,0.028327473363774735
0.8,0.02668082191780822,0.02602625570776256,0.02498162100456621,0.025896232876712333
0.9,0.02419280821917808,0.023742351598173516,0.02266050228310502,0.023531887366818872
1.0,0.021754908675799087,0.02133824200913242,0.0204648401826484,0.02118599695585997
1.1,0.019518036529680365,0.01909760273972603,0.01832579908675799,0.018980479452054794
1.2000000000000002,0.0172912100456621,0.016923173515981736,0.01634840182648402,0.01685426179604262
1.3,0.015353995433789954,0.015032420091324201,0.014488470319634704,0.014958295281582953
1.4000000000000001,0.013438812785388127,0.013120205479452056,0.012804109589041096,0.013121042617960425
1.5,0.011675,0.011496803652968037,0.01116038812785388,0.01144406392694064
1.6,0.010134360730593607,0.009947260273972603,0.009768264840182648,0.00994996194824962
1.7000000000000002,0.008776255707762557,0.008659132420091325,0.008571004566210046,0.008668797564687976
