Month,Day,Hour,mu_t,sigma_t,count
4,10,5,13.866666666666667,8.425019429114236,15
4,10,6,13.933333333333334,9.572778867084272,15
4,10,7,14.266666666666667,9.5204041530859,15
4,10,8,15.933333333333334,8.447033855287959,15
4,10,9,17.733333333333334,8.907995338592233,15
4,10,10,17.8,9.67470929795826,15
4,10,11,19.6,8.43292865582804,15
4,10,12,20.0,5.398412465054624,15
4,10,13,19.666666666666668,7.087883692477976,15
4,10,14,19.466666666666665,5.527420822805239,15
4,10,15,19.733333333333334,6.005552985917839,15
4,10,16,20.066666666666666,7.704049646282204,15
4,10,17,18.933333333333334,7.759479609453446,15
4,10,18,18.733333333333334,7.401415566021974,15
4,10,19,14.733333333333333,7.304271418312777,15
4,10,20,11.6,6.609516947986009,15
4,10,21,12.866666666666667,4.580496957858654,15
4,10,22,12.733333333333333,6.397171994233821,15
4,10,23,11.0,5.9521904731427595,15
4,11,0,10.733333333333333,5.378086046523384,15
4,11,1,12.533333333333333,6.27770051926052,15
4,11,2,9.733333333333333,6.397171994233822,15
4,11,3,11.066666666666666,6.616717644040161,15
4,11,4,9.733333333333333,7.225615808325531,15
4,11,5,10.571428571428571,6.28446541039932,14
4,11,6,11.0,7.681145747868608,15
4,11,7,9.6,7.808420363391598,15
4,11,8,10.733333333333333,9.323293920273537,15
4,11,9,12.666666666666666,9.788233947425033,15
4,11,10,13.6,9.440036319542724,15
4,11,11,16.4,9.803789354850792,15
4,11,12,18.8,9.821259738808605,15
4,11,13,18.133333333333333,10.252990272296639,15
4,11,14,17.666666666666668,8.355209381548963,15
4,11,15,15.933333333333334,6.307214312273873,15
4,11,16,18.333333333333332,9.123491395189413,15
4,11,17,17.2,7.729350370041272,15
4,11,18,15.466666666666667,6.6854497302154705,15
4,11,19,12.866666666666667,5.501514942874069,15
4,11,20,12.733333333333333,5.725465254540664,15
4,11,21,12.8,5.882176467941097,15
4,11,22,11.466666666666667,8.314072980423585,15
4,11,23,12.0,8.22018421760903,15
4,12,0,12.466666666666667,9.1093881452572,15
4,12,1,13.066666666666666,9.720866118573905,15
4,12,2,11.266666666666667,9.691429694519252,15
4,12,3,12.666666666666666,10.209705932988237,15
4,12,4,11.733333333333333,9.369148967806648,15
4,12,5,13.066666666666666,9.027471301269149,15
4,12,6,12.0,9.621404708847278,15
4,12,7,10.466666666666667,9.583219461021189,15
4,12,8,12.733333333333333,9.535397711884361,15
4,12,9,15.2,9.382354258317655,15
4,12,10,16.733333333333334,10.159208818088338,15
4,12,11,20.6,11.525127826994868,15
4,12,12,20.866666666666667,11.728272718196015,15
4,12,13,21.133333333333333,11.331792612359433,15
4,12,14,22.0,9.441549509633317,15
4,12,15,22.133333333333333,10.875047892614848,15
4,12,16,21.0,10.60996835864408,15
4,12,17,20.2,11.346490961652293,15
4,12,18,20.333333333333332,8.788520651286838,15
4,12,19,18.266666666666666,8.924017886473292,15
4,12,20,14.6,7.679285681066212,15
4,12,21,16.4,8.998412558414321,15
4,12,22,17.4,8.789604249176572,15
4,12,23,17.466666666666665,9.148510157136958,15
4,13,0,16.733333333333334,8.522798556700447,15
4,13,1,14.333333333333334,8.094677851762201,15
4,13,2,13.6,6.8222325629413385,15
4,13,3,12.266666666666667,6.295879226771685,15
4,13,4,11.533333333333333,7.927048330753084,15
4,13,5,11.6,8.296298658351894,15
4,13,6,12.133333333333333,7.827302643099133,15
4,13,7,11.8,8.50378067181214,15
4,13,8,13.0,9.72478424292429,15
4,13,9,13.666666666666666,8.208590157935307,15
4,13,10,15.4,9.318184985745424,15
4,13,11,17.0,7.191264542087554,15
4,13,12,17.2,6.878538050653329,15
4,13,13,18.533333333333335,9.356942927707797,15
4,13,14,19.666666666666668,10.167642419998472,15
4,13,15,19.866666666666667,8.895156520478407,15
4,13,16,20.0,9.411239481143202,15
4,13,17,20.866666666666667,9.203001580747344,15
4,13,18,21.466666666666665,8.253714892326334,15
4,13,19,19.333333333333332,9.021139195298584,15
4,13,20,17.133333333333333,9.970432478559983,15
4,13,21,13.733333333333333,8.572936375317274,15
4,13,22,15.4,9.186947262284681,15
4,13,23,12.666666666666666,8.79664438186246,15
4,14,0,12.666666666666666,10.082988974836116,15
4,14,1,14.133333333333333,8.998941736723955,15
4,14,2,12.266666666666667,10.081572061841111,15
4,14,3,12.266666666666667,10.422960003669555,15
4,14,4,11.0,8.847921466972585,15
4,14,5,12.8,8.35121890162491,15
4,14,6,11.066666666666666,10.208306608322646,15
4,14,7,12.466666666666667,9.515901478702947,15
4,14,8,13.0,11.141941354308823,15
4,14,9,17.666666666666668,9.544382541329643,15
4,14,10,17.933333333333334,10.839522041826296,15
4,14,11,20.0,11.563489339913179,15
4,14,12,19.266666666666666,10.257169385825888,15
4,14,13,20.2,10.765022725740724,15
4,14,14,19.133333333333333,13.58500573987295,15
4,14,15,20.4,11.794671920587097,15
4,14,16,19.8,12.084228209884627,15
4,14,17,19.466666666666665,12.927637430087895,15
4,14,18,17.8,11.718117840092143,15
4,14,19,18.428571428571427,8.083356935126602,14
4,14,20,15.0,8.044518985886334,15
4,14,21,13.866666666666667,7.6238972660844215,15
4,14,22,9.466666666666667,5.730453318725774,15
4,14,23,9.266666666666667,8.672342463805487,15
4,15,0,9.6,8.617258430448913,15
4,15,1,12.066666666666666,9.114091653404998,15
4,15,2,11.6,9.905265554960438,15
4,15,3,13.533333333333333,13.75222925651727,15
4,15,4,11.8,14.373586887064759,15
4,15,5,11.133333333333333,9.731147830304403,15
4,15,6,12.4,9.225740388407086,15
4,15,7,14.066666666666666,9.63228697563317,15
4,15,8,14.733333333333333,10.42981075480051,15
4,15,9,15.0,10.743768958264667,15
4,15,10,15.8,11.194386348267855,15
4,15,11,18.466666666666665,10.848743618283093,15
4,15,12,19.866666666666667,9.723804859846837,15
4,15,13,21.066666666666666,10.131046107786462,15
4,15,14,23.333333333333332,10.05461277699137,15
4,15,15,23.866666666666667,11.179488019625603,15
4,15,16,24.8,8.792854241614933,15
4,15,17,23.4,10.881176406988354,15
4,15,18,22.733333333333334,6.7025226238938975,15
4,15,19,21.866666666666667,6.555985996091845,15
4,15,20,18.0,5.5805785670356025,15
4,15,21,15.733333333333333,6.507870692659846,15
4,15,22,15.066666666666666,8.276184996436347,15
4,15,23,15.466666666666667,10.729576390697328,15
4,16,0,14.214285714285714,10.039756137312466,14
4,16,1,14.466666666666667,9.21075975357599,15
4,16,2,15.0,9.9713876380658,15
4,16,3,14.733333333333333,8.021993577183975,15
4,16,4,14.866666666666667,9.387428269968805,15
4,16,5,14.4,10.238582491173837,15
4,16,6,13.533333333333333,9.78969331685601,15
4,16,7,14.666666666666666,11.412190641506793,15
4,16,8,15.0,9.486832980505138,15
4,16,9,15.533333333333333,9.046441026066287,15
4,16,10,16.0,9.539392014169456,15
4,16,11,16.866666666666667,8.773878981439873,15
4,16,12,15.933333333333334,11.913177977509172,15
4,16,13,17.666666666666668,8.665750867365048,15
4,16,14,17.866666666666667,8.408046033130296,15
4,16,15,17.266666666666666,9.7721664995659,15
4,16,16,17.0,10.246950765959598,15
4,16,17,16.666666666666668,9.52940311926848,15
4,16,18,14.866666666666667,10.548301601047756,15
4,16,19,11.266666666666667,9.779473157491424,15
4,16,20,12.8,8.83337825684893,15
4,16,21,13.0,8.272156395316244,15
4,16,22,13.266666666666667,9.467739711150452,15
4,16,23,13.2,10.611314715905849,15
4,17,0,10.6,9.085309964049499,15
4,17,1,12.0,8.272156395316244,15
4,17,2,12.733333333333333,8.171961354592444,15
4,17,3,13.133333333333333,7.356888576280705,15
4,17,4,12.8,7.31143917824274,15
4,17,5,11.866666666666667,9.62783662591125,15
4,17,6,11.933333333333334,9.215411522216982,15
4,17,7,12.0,9.591663046625438,15
4,17,8,12.066666666666666,10.095732243072293,15
4,17,9,14.6,12.47168220982467,15
4,17,10,17.6,10.966181781146199,15
4,17,11,20.0,10.810048235652923,15
4,17,12,19.866666666666667,9.753143571372746,15
4,17,13,21.6,11.318758134808151,15
4,17,14,22.866666666666667,9.303353210127032,15
4,17,15,23.933333333333334,10.215301314811079,15
4,17,16,26.4,9.30284134782794,15
4,17,17,25.6,10.196638101424831,15
