available_capacity_MW,probability
60.1419,2.6128765081652683e-15
60.142,3.7066377788133116e-11
60.3486,2.156618248736696e-13
60.3596,3.66711206340416e-11
60.6179,3.564532704465782e-13
60.6332,3.588531284566924e-11
60.6879,4.089429382499929e-16
60.8319,3.0623346628789854e-14
60.9629,3.474461536158062e-11
61.3486,3.334686948783782e-11
61.4519,3.2429607328249067e-13
61.4628,1.8918576650276897e-13
61.4803,2.2923347028896494e-15
61.7904,3.026989165168165e-11
62.0,2.8980085961286495e-15
62.2882,2.769515378531099e-11
62.342,2.9368009604047636e-13
62.3945,2.649375479568317e-14
62.6332,1.691820872358609e-13
62.842,2.524839705378932e-11
62.8748,2.023021380752552e-15
63.2882,2.641756985287336e-13
63.4519,2.3184135566872777e-11
63.8595,1.4783270253436955e-13
64.0132,2.3078682593491287e-14
64.1179,2.134062796107127e-11
64.2903,2.377372865559173e-13
64.3254,1.7260976598372497e-15
64.8398,1.9380181439976366e-11
65.0,7.661802052354522e-12
65.1419,1.299840081082217e-13
65.142,9.17709848440663e-13
65.3486,2.1242142385018702e-13
65.3596,9.07923853568174e-13
65.6179,1.7646643479748667e-11
65.6332,8.884683904394956e-13
65.6879,2.024773772669965e-14
65.8319,1.5159601383248953e-15
65.9629,8.602263722627218e-13
66.3486,8.256202081189534e-13
66.4519,1.605466315382349e-11
66.4628,1.8634317833602681e-13
66.4803,1.1403786274476288e-13
66.7904,7.494386918182643e-13
67.0,1.4348729980578155e-13
67.2882,6.856919100143535e-13
67.342,1.4538982754827416e-11
67.3945,1.31153125331674e-15
67.6332,1.6664006196571798e-13
67.842,6.251137558151376e-13
67.8748,1.006402050525891e-13
68.2882,1.307833243361641e-11
68.4519,5.740056300865271e-13
68.8595,1.4561145989730486e-13
69.0132,1.142473527824479e-15
69.1179,5.28363050841545e-13
69.2903,1.1769467376296283e-11
69.3254,8.586899974442885e-14
69.8398,4.798252333608732e-13
70.0,3.8115530411965667e-10
70.1419,1.2803094890009814e-13
70.142,4.565374751081075e-11
70.3486,1.0516175456739493e-11
70.3596,4.516691897801269e-11
70.6179,4.369053433236001e-13
70.6332,4.419905881731833e-11
70.6879,1.0023320983499827e-15
70.8319,7.541518869949608e-14
70.9629,4.279408973125156e-11
71.3486,4.107252045440248e-11
71.4519,3.974902153611088e-13
71.4628,9.22514086870165e-12
71.4803,1.1232440044159282e-13
71.7904,3.728268239600961e-11
72.0,7.103110887852498e-15
72.2882,3.4111440977986776e-11
72.342,3.599641631205122e-13
72.3945,6.524536790489844e-14
72.6332,8.249714637961122e-12
72.842,3.109783078171265e-11
72.8748,9.912804765687505e-14
73.2882,3.238005759320035e-13
73.4519,2.8555330587637836e-11
73.8595,7.208668659861712e-12
74.0132,5.6835172975106666e-14
74.1179,2.628472752923847e-11
74.2903,2.913949721190761e-13
74.3254,8.457878533202525e-14
74.8398,2.3870093679821213e-11
75.0,3.754283005653716e-10
75.1419,6.338324534891751e-12
75.142,4.4967782573592485e-11
75.3486,2.6036527873704305e-13
75.3596,4.4488268824840527e-11
75.6179,2.173493753402758e-11
75.6332,4.353495113153529e-11
75.6879,4.986349075124915e-14
75.8319,7.428204677791988e-14
75.9629,4.2151092240873374e-11
76.3486,4.0455390197828725e-11
76.4519,1.977413445104506e-11
76.4628,2.284011315281626e-13
